Voltage (V)	Current (A)
0.00	0.00
1.00	0.05
2.00	0.00
3.00	0.50
4.00	0.27
5.00	0.30
6.00	0.48
7.00	0.52
8.00	0.57
9.00	0.59
10.00	0.68
11.00	0.67
12.00	0.69
13.00	0.69
14.00	1.16
15.00	1.03
16.00	1.20
17.00	1.05
18.00	1.15
19.00	1.13
20.00	1.31
21.00	1.21
22.00	1.39
23.00	1.65
24.00	1.65
25.00	1.55
26.00	1.73
27.00	1.72
28.00	1.84
29.00	1.87
30.00	2.16
31.00	2.03
32.00	2.30
33.00	2.32
34.00	2.28
35.00	2.36
36.00	2.32
37.00	2.48
38.00	2.47
39.00	2.62
40.00	2.55
41.00	2.73
42.00	2.69
43.00	2.89
44.00	3.06
45.00	3.08
46.00	3.06
47.00	3.01
48.00	3.20
49.00	3.25
50.00	3.24
51.00	3.53
52.00	3.51
53.00	3.49
54.00	3.41
55.00	3.63
56.00	3.64
57.00	3.84
58.00	3.94
59.00	3.93
60.00	3.83
61.00	4.00
62.00	4.00
63.00	4.14
64.00	4.15
65.00	4.30
66.00	4.39
67.00	4.55
68.00	4.63
69.00	4.57
70.00	4.71
71.00	4.87
72.00	4.83
73.00	4.99
74.00	5.11
75.00	5.06
76.00	5.30
77.00	4.98
78.00	5.37
79.00	5.14
80.00	5.38
81.00	5.56
82.00	5.42
83.00	5.77
84.00	5.58
85.00	5.76
86.00	5.71
87.00	5.91
88.00	6.02
89.00	5.83
90.00	6.12
91.00	5.95
92.00	6.08
93.00	6.09
94.00	6.15
95.00	6.28
96.00	6.48
97.00	6.59
98.00	6.60
99.00	6.71
100.00	6.82
